id,title,link,pubDate,resume,creator,source
222,How to Help Translate Bitcoin.org,https://bitcoin.org/en/posts/how-to-help-translate.html,"Fri, 14 Sep 2018 00:00:00 +0000","If you’re a fluent or native speaker of a language other than English, this
blog post will help you learn how to get started translating Bitcoin.org so
that more people around the world who speak your language can learn about
Bitcoin.
Thank you to Simon AKA “Komodorpudel” for preparing content to help organize this post.
Getting Started with the Translation Team
Translations for Bitcoin.org are done on a website called Transifex. Basic instructions for how Transifex works can be found here.
Below is a summary:
Create a free Transifex account.
Creating a Transifex account is free and not much information is needed.
Join the Bitcoin.org translation team
and select the language you want to translate the site into. Your request to
join a team will be accepted instantly, and you will be a translator for the
language you selected. If your language is not available yet, close the pop-up,
scroll down, and navigate to “Request language”.
Play around with the interface. Transifex’s interface can be a bit confusing
and it cannot hurt to take a look around. As a translator, you cannot cause any
harm as you can only edit unreviewed strings. A complete history is saved for
every string, making it impossible to destroy previous work. In the beginning,
stay away from the Glossary as this can be edited by new translators but no
history is saved.
Join the Telegram group for translators.
The website maintainer, both team leaders for translations, a number of language
coordinators, and various translators are present in this group. We are happy to
help in case you need assistance.
Choose what you want to translate. Navigate to the “Dashboard” on the top of
the page, then to “Languages” and select your language. You will see a lot
of different resources and their progress. Each resource consists of a number of
strings. A string is a “string” of text on Bitcoin.org. Each string has three
possible states - “untranslated”, “translated but unreviewed”, and “reviewed”.
Only the first state “untranslated” is relevant for most translators. However,
if you find a “translated but unreviewed” string that contains obvious mistakes,
you are free to correct them. “Reviewed” strings can only be changed or
unreviewed by reviewers. The first resource “bitcoin.org” contains all strings
of the main page. Start here. Everything else that follows starts with
“devdocs…”, indicating that these files are part of the developer
documentation. It is recommended that you only try to translate the developer
documentation if you are an experienced Bitcoin user and/or developer with a
profound understanding.
Start translating. You must be a native or fluent speaker for the language
you choose to translate. Please be careful to preserve the original meaning of
each text. Sentences and popular expressions should sound native in your
language. Translations need to be reviewed by a reviewer or coordinator before
publication. Once reviewed, coordinators will notify the team leaders that a
certain translation is ready for publication. If in doubt, please contact the
coordinator(s) for your language on Transifex.
Please take a look at the Responsibilities and Tasks section below to learn
more about the different types of users that you’ll encounter on Transifex
when helping translate Bitcoin.org.
Responsibilities and Tasks
Team Leaders
Team Leaders are currently Simon AKA “Komodorpudel” and Hendrawan AKA “khendraw”.
Responsibilities and Tasks
Providing oversight on the complete translation efforts on Transifex.
Keeping track of everything.
Being a contact person for all sorts of questions that cannot be answered by language coordinators.
Promoting or demoting users (e.g. promoting a reviewer to coordinator).
Managing groups that have no active coordinator.
Coordinators
Various people across all language teams are coordinators. For a number of
languages, no active coordinator exists. If there are any questions or you want
to assist by becoming a coordinator, please write one of the team leaders.
Responsibilities and Tasks
Translating and striving for consistency across strings.
Providing oversight on the complete translation efforts for a specific language.
Notifying team leaders if a resource is ready to be put on the website.
Being a contact person for the team leaders.
Being a contact person for all reviewers and translators within a specific language team.
Introducing and helping new volunteers.
Promoting or demoting users (e.g. promoting a translator to reviewer).
Removing user that do not follow instructions (e.g. using Google Translate).
Reviewers
Responsibilities and Tasks
Translating and striving for consistency across strings.
Reviewing strings (preferably not their own strings if possible).
Checking translations for correctness regarding meaning and spelling.
Checking for consistency across translations (e.g. is “transaction malleability” translated consistently across all strings?).
Translators
Responsibilities and Tasks
Translating and striving for consistency across strings.
Extending the glossary with translations for necessary and general terms.
About Bitcoin.org
Bitcoin.org was originally registered and owned by Satoshi Nakamoto and Martti
Malmi. When Satoshi left the project, he gave ownership of the domain to
additional people, separate from the Bitcoin developers, to spread
responsibility and prevent any one person or group from easily gaining control
over the Bitcoin project. Since then, the site has been developed and
maintained by different members of the Bitcoin community.
Despite being a privately owned site, its code is
open-source and there have
been over 3,200 commits from 180 contributors from all over the world. In
addition to this, over 950 translators have helped to make the site display
natively to visitors by default in their own languages — now 25 different
languages and growing.",,bitcoin
120,SEBA Bank Might Soon Offer Crypto Services in Hong Kong (Report),https://cryptopotato.com/seba-bank-might-soon-offer-crypto-services-in-hong-kong-report/,"Sat, 02 Sep 2023 14:39:07 +0000",SEBA Bank's executive Amy Yu expects to see the final approval by the end of 2023.,Dimitar Dzhondzhorov,cryptopotato
121,Unusual SEC Move In Case Against Binance,https://cryptobriefing.com/unusual-sec-move-case-against-binance/?utm_source=feed&utm_medium=rss,"Fri, 01 Sep 2023 20:31:34 +0000","The SEC files a rarely-seen sealed motion against Binance, keeping pivotal case details from the public eye.",Diego Almada Lopez,cryptobriefing
122,Ethereum (ETH) is a Commodity Says Judge in Uniswap Lawsuit,https://cryptobriefing.com/ethereum-eth-commodity-says-judge-uniswap-lawsuit/?utm_source=feed&utm_medium=rss,"Fri, 01 Sep 2023 18:55:26 +0000","New York Judge classifies ETH as a commodity, adding a new dimension to the ongoing SEC debate over cryptocurrency classifications.",Diego Almada Lopez,cryptobriefing
123,Robinhood’s Repurchase Reclaims Bankman-Fried’s Legacy Shares,https://cryptobriefing.com/robinhoods-reclaims-bankman-frieds-legacy-shares/?utm_source=feed&utm_medium=rss,"Fri, 01 Sep 2023 14:32:52 +0000",Robinhood reaches an agreement with U.S. authorities to repurchase stocks from Sam Bankman-Fried's Emergent and FTX.,Emily Tonelli,cryptobriefing
124,"China’s Court Says Crypto, Digital Assets are Legally Protected",https://cryptobriefing.com/chinas-court-says-crypto-legally-protected/?utm_source=feed&utm_medium=rss,"Fri, 01 Sep 2023 12:42:40 +0000","A recent report from China identifies digital assets, including crypto, as legal properties within the country's legal framework.",Emily Tonelli,cryptobriefing
125,"Lufthansa Takes to Digital Skies, Launching NFT Loyalty Rewards with Uptrip on Polygon",https://cryptobriefing.com/lufthansa-launches-nft-loyalty-polygon/?utm_source=feed&utm_medium=rss,"Fri, 01 Sep 2023 11:53:25 +0000","Lufthansa Group launches Uptrip loyalty platform on the Polygon network, enabling travelers to amass NFT trading cards for each flight.",Emily Tonelli,cryptobriefing
126,Coinbase Lists PayPal USD as Binance Cuts BUSD Support,https://cryptobriefing.com/coinbase-lists-paypal-usd-as-binance-cuts-busd-support/?utm_source=feed&utm_medium=rss,"Fri, 01 Sep 2023 00:04:11 +0000","Coinbase added PayPal's stablecoin, PYUSD, while Binance decided to stop support for its BUSD due to regulatory challenges.",Diego Almada Lopez,cryptobriefing
127,"SEC Delays Decision on Bitcoin ETFs from BlackRock, Fidelity, and Five Others",https://cryptobriefing.com/sec-delays-decision-on-bitcoin-etfs-from-blackrock-fidelity-and-five-others/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 23:44:15 +0000",The SEC has delayed its decision on seven spot bitcoin exchange-traded fund (ETF) proposals.,Diego Almada Lopez,cryptobriefing
128,Ethereum Integrates Giddy for Multichain Smart-Wallet Compatibility,https://cryptobriefing.com/ethereum-integrates-giddy-smart-wallet-compatibility/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 20:05:49 +0000",Giddy's crypto smart wallet brings an advanced integration of Ethereum Mainnet for a robust multi-chain strategy.,Emily Tonelli,cryptobriefing
129,"Robinhood Brings DeFi to Users, Adds 200+ Ethereum and Polygon Tokens",https://cryptobriefing.com/robinhood-brings-defi-to-users-adds-ethereum-and-polygon-tokens/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 17:25:22 +0000","The Robinhood Wallet now supports Ethereum and Polygon DeFi, along with the ability to transfer Bitcoin and Dogecoin to other wallets.",Diego Almada Lopez,cryptobriefing
130,Swift’s Blockchain Integration Offers Solutions for Data Security,https://cryptobriefing.com/swifts-blockchain-integration-offers-data-security/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 17:00:49 +0000",Swift announces results from experiments designed to facilitate the transfer of tokenized assets across diverse blockchains.,Emily Tonelli,cryptobriefing
131,Mastercard Partners with Nexo for Simplified Cryptocurrency Transactions,https://cryptobriefing.com/mastercard-partners-with-nexo/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 16:17:48 +0000","In partnership with Mastercard and DiPocket, Nexo enhances its card offerings by introducing a Dual Mode feature.",Emily Tonelli,cryptobriefing
132,Ethereum’s Historical Vault Now Open: ChainLight’s Relic Protocol v2 Partners with zkSync Era,https://cryptobriefing.com/chainlights-relic-protocol-v2-partners-with-zksync-era/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 16:00:15 +0000",ChainLight's introduction of Relic Protocol v2 on zkSync Era delivers a new method for developers to access Ethereum's historical data.,Emily Tonelli,cryptobriefing
133,"Ethereum’s Value Grows with Network Usage, Fidelity Reports",https://cryptobriefing.com/ethereums-value-grows-with-network-usage-fidelity-reports/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 15:42:10 +0000","Fidelity, a $4.5 trillion asset manager, stated in a recent study that ether's value is linked to network usage.",Diego Almada Lopez,cryptobriefing
134,Binance Set to Wind Down Support for BUSD: A New Stablecoin Ahead?,https://cryptobriefing.com/binance-set-to-wind-down-support-busd/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 10:53:06 +0000","Binance reveals plans to phase out support for its BUSD, urging users to shift their holdings by February 2024.",Emily Tonelli,cryptobriefing
135,Uniswap Win Securities Lawsuit. Judge Supports DeFi,https://cryptobriefing.com/uniswap-win-securities-lawsuit-judge-supports-defi/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 01:32:49 +0000","Yesterday, the SDNY stated that Uniswap is not liable for damages from third parties misusing its protocol.",Diego Almada Lopez,cryptobriefing
136,Coinbase PayPal Partnership Simplifies Crypto Buying in Germany and the UK,https://cryptobriefing.com/coinbase-paypal-partnership-simplifies-crypto-buying-in-germany-and-the-uk/?utm_source=feed&utm_medium=rss,"Thu, 31 Aug 2023 01:28:29 +0000","This week, Coinbase partnered with PayPal to streamline cryptocurrency transactions for users in Germany and the UK.",Diego Almada Lopez,cryptobriefing
137,Binance’s Send Cash: A New Transfer Service for Latin America,https://cryptobriefing.com/binances-send-cash-transfer-service-for-latin-america/?utm_source=feed&utm_medium=rss,"Wed, 30 Aug 2023 13:43:03 +0000","Binance introduces a new transfer service in Latin America, and Colombia, Argentina can receive funds with direct deposit.",Emily Tonelli,cryptobriefing
138,Circle & Mercado Pago Bring USDC Payments to Chile,https://cryptobriefing.com/latams-amazon-mercado-libre-to-bring-usdc-to-chile/?utm_source=feed&utm_medium=rss,"Wed, 30 Aug 2023 13:12:23 +0000",Circle partners with fintech giant Mercado Pago to bring USDC to Chile customers.,Diego Almada Lopez,cryptobriefing
139,Switzerland’s SEBA Bank Expands Crypto with Key Hong Kong Regulatory Approval,https://cryptobriefing.com/seba-bank-key-hong-kong-regulatory-approval/?utm_source=feed&utm_medium=rss,"Wed, 30 Aug 2023 12:14:58 +0000","The subsidiary of Switzerland's SEBA Bank, SEBA Hong Kong, moves a step closer to offering regulated cryptocurrency-related services",Emily Tonelli,cryptobriefing
221,Bitcoin.org Content Now Available in 25+ Languages,https://bitcoin.org/en/posts/content-now-available-in-over-25-languages.html,"Thu, 14 Feb 2019 00:00:00 +0000","Bitcoin is Spreading

Over the the past year, as part of Bitcoin.org’s ongoing content translation
initiative to help spread information about Bitcoin all around the world, many
people have helped extend and update the site into their own native languages.
Thanks to community donations and a sponsorship from Paxful,
translators throughout 2018 received bitcoin bonuses in appreciation
for the time and efforts that they had spent volunteering. Bitcoin.org content
is available in 25+ languages including:
Arabic
Bulgarian
Danish
Dutch
English
Farsi
French
German
Greek
Hindi
Hungarian
Indonesian
Italian
Japanese
Korean
Mandarin
Polish
Portuguese (Brazilian)
Romanian
Russian
Serbian
Slovenian
Spanish
Swedish
Turkish
As the original website domain registered by Satoshi Nakamoto in association
with the technology, and one of the first results people encounter when
searching the web for more information about Bitcoin, this accomplishment
enables billions of people to potentially learn more about it and how to get
started using it as easily as possible. Also, despite being a privately owned
site, Bitcoin.org’s code is open-source.
There have been thousands of commits and contributions from hundreds of
contributors and translators. The open source nature by which the site is run,
helps to ensure that new users are still able to find unbiased and qualitative
information about Bitcoin, to make their own informed decisions about which
products and services might be the optimal choice for them to use.
In 2019, translation coverage will continue to expand across the site into areas
where translated content previously wasn’t available, areas such as the developer
documentation, for example.
If you speak English and another language and would like to help spread the word
about Bitcoin, it’s easy to get started!
Thanks goes to everyone who contributes to make this possible.",,bitcoin
140,South Korean Lawmaker Retains Seat Amid Crypto Trading Allegations,https://cryptobriefing.com/south-korean-lawmaker-retains-seat/?utm_source=feed&utm_medium=rss,"Wed, 30 Aug 2023 11:33:17 +0000",South Korean National Assembly member Kim Nam-kuk narrowly avoided expulsion over allegations related to cryptocurrency transactions.,Emily Tonelli,cryptobriefing
141,Solana Ecosystem Collapse? Clockwork Next Project to Shut Down,https://cryptobriefing.com/solana-ecosystem-collapse-clockwork-next-project-to-shut-down/?utm_source=feed&utm_medium=rss,"Tue, 29 Aug 2023 19:31:08 +0000","Clockwork, an automation network for Solana smart contracts, has announced it will cease development at the end of October.",Diego Almada Lopez,cryptobriefing
142,Bitcoin ETF Imminent? Grayscale Wins Court Ruling Against SEC,https://cryptobriefing.com/bitcoin-etf-imminent-grayscale-wins-court-ruling-against-sec/?utm_source=feed&utm_medium=rss,"Tue, 29 Aug 2023 17:49:12 +0000",Bitcoin surges following Grayscale victory against the SEC.,Diego Almada Lopez,cryptobriefing
143,NFT Market Analysis: Art Sector Emerges as Top Performer in 2022,https://cryptobriefing.com/nft-art-sector-emerges-as-top-performer/?utm_source=feed&utm_medium=rss,"Tue, 29 Aug 2023 17:44:17 +0000","A detailed review of 2022's NFT market performance, highlighting sector-specific trends and comparisons against Ethereum's market movements.",Emily Tonelli,cryptobriefing
144,BNB Smart Chain Expanded on Backed for Token Issuance,https://cryptobriefing.com/bnb-smart-chain-expanded-on-backed/?utm_source=feed&utm_medium=rss,"Tue, 29 Aug 2023 14:07:17 +0000","Backed integrates token issuance on BNB Smart Chain, aiming for better accessibility and scalability for diverse financial assets.",Emily Tonelli,cryptobriefing
145,Binance’s P2P Change: Venezuela’s Premier Bank Gets Cut,https://cryptobriefing.com/binance-omits-banco-de-venezuela/?utm_source=feed&utm_medium=rss,"Tue, 29 Aug 2023 13:27:10 +0000","Binance discontinues its P2P trading services with Venezuela's primary state-owned bank, Banco de Venezuela.",Emily Tonelli,cryptobriefing
146,DOJ Requests Courts to ‘Gatekeep Authority’ By Removing SBF’s Expert Witnesses,https://cryptobriefing.com/doj-requests-courts-removing-sbfs-expert-witnesses/?utm_source=feed&utm_medium=rss,"Tue, 29 Aug 2023 11:17:03 +0000",The U.S. DOJ makes a strategic move in the ongoing case against Sam Bankman-Fried with a motion to bar his lineup of expert witnesses.,Emily Tonelli,cryptobriefing
147,Bored Ape & Axie to Unlock 11% of Their Market Cap,https://cryptobriefing.com/bored-ape-axie-to-unlock-11-of-their-market-cap/?utm_source=feed&utm_medium=rss,"Mon, 28 Aug 2023 23:19:07 +0000",Bored Ape Yacht Club (BAYC) and Axie Infinity plan to unlock a significant portion of their market caps.,Diego Almada Lopez,cryptobriefing
148,Stablecoins Surpass Mastercard & PayPal in Transaction Volume,https://cryptobriefing.com/stablecoins-surpass-mastercard-paypal-in-transaction-volume/?utm_source=feed&utm_medium=rss,"Mon, 28 Aug 2023 19:44:15 +0000","In 2022, stablecoins on layer 1 networks recorded $6.87 trillion in transactions, surpassing Mastercard's $6.57T and PayPal's $1.3T.",Diego Almada Lopez,cryptobriefing
149,Shibarium Resumes Ethereum Bridge Withdrawals After Botched Launch,https://cryptobriefing.com/shibariumupdatefinal-resumes-ethereum-bridge-withdrawals/?utm_source=feed&utm_medium=rss,"Mon, 28 Aug 2023 16:25:06 +0000","Shibarium has successfully relaunched its Ethereum bridge, resolving user accessibility issues and releasing $2.5 million in trapped assets.",Diego Almada Lopez,cryptobriefing
150,Binance Finds Path Back to Belgium Via Polish Entity,https://cryptobriefing.com/binance-returns-to-belgium-via-polish-entity/?utm_source=feed&utm_medium=rss,"Mon, 28 Aug 2023 16:20:45 +0000","Binance shifts its Belgian clientele to operate under its Polish unit, seeking compliance with European standards.",Emily Tonelli,cryptobriefing
151,"Bitcoin Futures Frenzy Fizzles Out As Price Plunges Below $26,000",https://www.newsbtc.com/bitcoin-news/bitcoin-futures-frenzy-fizzles-out-as-price-plunges-below-26000/,"Sun, 03 Sep 2023 11:50:22 +0000","The crypto market has lost its sparkle lately, with bitcoin futures trading volume drying up as the flagship cryptocurrency struggles to stay afloat.  Bitcoin futures open interest, which measures the buzz around upcoming contracts, has dropped to a 5-month low of $11.3 billion, according to data from Glassnode. This suggests traders are closing out positions and reducing exposure to volatile crypto assets.  Bitcoin’s Struggles Below $26K: Is The Crypto Craze Losing Steam? The disinterest comes as bitcoin prices dropped below $26,000 for the first time since August, dampening spirits across the crypto sphere.  “It seems the market is running out of steam,” said Lee Reiners, professor of cryptocurrency law at Duke University. “Investors are realizing these assets don’t just go up forever.” Related Reading: Crypto Analyst’s September Warning: Bitcoin Faces A Red Month Analysts said that the drop in open interest appears related to the expiration of monthly and quarterly futures contracts, which drained trading activity and liquidity. But the decline also signals fading confidence in Bitcoin’s upside potential amid mounting regulatory scrutiny, environmental backlash, and competition from alternative cryptos like ether.   “The promise of quick riches that lured many retail investors now seems a distant dream,” said Jamie Dimon, CEO at JP Morgan. “The crypto craze appears to be losing momentum fast.” Two days ago JPMorgan said: ”the bottom of this #Bitcoin crash is nearing” Honestly, this only makes me bearish… pic.twitter.com/mIAjjatrDG — Crypto Rover (@rovercrc) August 27, 2023 Bitcoin has struggled to regain traction since its record high of nearly $69,000 in November 2021. Though some crypto bulls remain hopeful, continued lackluster performance could stall wider adoption. Exploring The Factors Behind Bitcoin’s Declining Fortunes One significant factor is the regulatory scrutiny that has intensified worldwide. Governments and financial authorities are increasingly concerned about the potential risks associated with cryptocurrencies, including money laundering and tax evasion. This regulatory uncertainty has made some investors wary and hesitant to enter or remain in the market. Bitcoin has faced backlash due to its environmental impact. Critics argue that the energy-intensive process of mining Bitcoin is unsustainable and contributes to carbon emissions. As environmental concerns take center stage, some investors and institutions may reevaluate their support for Bitcoin in favor of more environmentally friendly cryptocurrencies. While Bitcoin pioneered, newer cryptocurrencies like Ethereum have gained traction, offering innovative features such as smart contracts and decentralized applications. These alternatives have attracted both developers and investors, diverting attention away from Bitcoin. Bitcoin’s Future: Crossroads For The Original Crypto For diehard believers, bitcoin’s funk may present a buying opportunity if prices continue drifting lower. But others argue that “digital gold” has lost its luster for good. Related Reading: Bitcoin Whales Load Up With $1.5 Billion Worth Of BTC Amidst Price Uncertainty “It’s yet to be seen whether Bitcoin can reclaim its role as the crypto market’s flagship,” said Chen Alicia, a student of blockchain studies at NYU. With futures interest shrinking, bitcoin is at a crossroads. Does the original crypto still have a bright future, or will up-and-comers displace it? Featured image from Pixabay and chart from TadingView.com",Kent Glory,newsbtc
152,GALA Sinks 72% In 2023 Alone – Blame Internal Wrangles And Lawsuits?,https://www.newsbtc.com/news/gala-sinks-72-in-2023-alone-blame-internal-wrangles-and-lawsuits/,"Sun, 03 Sep 2023 10:44:46 +0000","GALA, the native token of Gala Games, is under immense selling pressure as of early September 2023. Trackers show that the token is down 72% from 2023 peaks when it soared to $0.062 in late January 2023. From there, the token has been edging lower, sinking to $0.017 at spot rates, unwinding over 95% of gains posted in early 2023. To illustrate, GALA is cents away from retesting all-time lows registered in late 2022 at around $0.016. GALA Plunging The drawdown could be pinned to the unfavorable market-wide bear market conditions that have seen top coins, including Bitcoin and Ethereum, surge before dumping, dragging altcoins even lower. The slowdown across Bitcoin has been mirrored in GALA as the token edges lower, reversing gains posted on August 29.  On this day, Bitcoin rose after a US Court of Appeal ruled in favor of Grayscale, the issuer of GBTC. Even though the court didn’t direct the Securities and Exchange Commission (SEC) to convert GBTC trust to an exchange-traded fund (ETF), the judge didn’t provide clear reasons why they denied Grayscale’s request. BTC prices rallied as odds of the US approving a spot Bitcoin ETF rose, lifting altcoins, including GALA. However, bears have successfully peeled back losses, as the daily chart shows. Related Reading: Crypto Analyst’s September Warning: Bitcoin Faces A Red Month CEO Versus Co-Founder Beyond market factors, GALA may plunge to all-time lows primarily because of internal wrangles that could heap more pressure on the token that’s already struggling against unrelenting bears. Court documents show that CEO Eric Schiermeyer and co-founder Wright Thurston filed lawsuits against each other.  Filings show that Schiermeyer blames the co-founder for illegally obtaining and selling $130 million of GALA. The CEO also claims the co-founder stole node licenses for operating nodes within the Gala game ecosystem. He also cites Thurston’s history of founding companies that often in bankruptcy. The CEO wants the co-founder replaced as director. Related Reading: XRP Whales On The Move Again, As Altcoin Records Significant Utility Spikes The co-founder and his investment vehicle, True North Investments, accuse the CEO of wasting millions of dollars in company assets and engaging in fraudulent practices that harmed the company. The co-founder claims the CEO misused millions, including $600 million of assets, and lending millions of dollars from Gala Games to himself. They also alleged that the CEO created entities in Switzerland and Dubai that, in reality, should belong to Gala Games. The co-founder wants to kick out the CEO, who has held the office since 2021. Featured image from Canva, chart from TradingView",Dalmas Ngetich,newsbtc
153,"XRP Whales On The Move Again, As Altcoin Records Significant Utility Spikes",https://www.newsbtc.com/analysis/xrp/xrp-whales-on-the-move-again-as-altcoin-records-significant-utility-spikes/,"Sat, 02 Sep 2023 15:30:50 +0000","In the last 48 hours, the XRP market has witnessed a significant amount of large-scale transactions, drawing much attention from the general crypto space. According to data from blockchain tracker Whale Alert, XRP whales conducted transactions involving over a billion XRP on Friday, September 1.  Related Reading: XRP Price Prediction – Topside Bias Vulnerable Unless Bulls Clear This Hurdle Ripple Transfers 75 Million XRP To Unknown Wallet In Whale Buying Spree Through a series of posts by Whale Alert on social media platform X (formerly Twitter), it can be inferred that the XRP market witnessed four major whale transactions.  The biggest of these transactions was the transfer of 424,354,912 XRP – valued at $214,293,666 – from one unknown wallet to the other. In this context, unknown wallets refer to addresses with no affiliation to a crypto exchange.  Furthermore, there was the move of XRP, 19,920,318 XRP worth $10,167,904, from another unknown wallet to the Binance exchange. It was also noted that a whale transferred 66,666,659 XRP, worth $33,065, 809 from an unknown wallet to the Binance exchange.  However, the most notable transaction that caught most traders’ eye came from Ripple, the company behind the XRP cryptocurrency.  Whale Alert reported that Ripple transferred 75,000,000 XRP, worth $37,058,145, from its Binance wallet to an unknown wallet.  Following this move, some crypto enthusiasts believe that this particular unknown wallet also belongs to Ripple, as the company could be intending to soon offload those tokens on an exchange. This speculation has led to most investors predicting an incoming market dump.  Ripple also conducted other transactions on September 1, locking about 800,000,000 XRP in escrow.  However, this does not raise any concern as the crypto payment firm is known to release 1,000,000,000 XRP at the start of every month before proceeding to lock up about 80% of the new tokens a few hours later.  Related Reading: XRP Price Prediction for 2023, 2024, 2025, 2030 and Beyond XRP Records 7-Month Highest Transaction Volume Among Other Positives Following the massive transactions in the XRP market, on-chain analytics firm Santiment has provided a report highlighting some of the effects of these whale movements. According to an X post on September 1, Santiment reports an on-chain transaction volume of 4.8 billion XRP, marking the seven highest value of this metric in the XRP market over the last seven months.  The analytics firm also noted that there are currently about 2.03 billion XRP in circulation, representing the token’s highest-circulating supply since May 31. In addition, XRP development activity was also reported to be on the high side. At the time of writing, XRP still finds itself struggling amid a general market downturn. The fifth-largest cryptocurrency trades at $0.4983 with a 1.88% loss in the last day, according to data from CoinMarketCap. XRP trading at XRPUSD on the daily chart | Source: XRPUSD chart on Tradingview.com Featured image from Unsplash, chart from Tradingview.",Semilore Faleti,newsbtc
154,Crypto Analyst’s September Warning: Bitcoin Faces A Red Month,https://www.newsbtc.com/bitcoin-news/crypto-analysts-september-warning-bitcoin-faces-a-red-month/,"Sat, 02 Sep 2023 14:30:33 +0000","In a recent video by renowned cryptocurrency analyst Benjamin Cowen, ominous predictions for Bitcoin performance in September have emerged. Cowen, known for his data-driven approach to cryptocurrency analysis, shared his insights regarding Bitcoin’s historical performance in September and its potential trajectory for the current year. Cowen acknowledged that September has traditionally been a challenging month for BTC, often characterized by negative price movements. He emphasized that while historical trends suggest a red month for Bitcoin in September, there are no guarantees, and occasional green September does occur. Related Reading: Shiba Inu Marketing Lead Sends Important Message To SHIB Holders The analyst highlighted that Bitcoin had experienced six consecutive red September from 2017 to 2022. The average return for Bitcoin in September has historically been around -6.6%, with a standard deviation that adds to the unpredictability of the cryptocurrency’s performance. Examining Potential Price Declines Cowen then delved into the potential price decline for Bitcoin in September. Given Bitcoin’s opening price of just below $26,000 for the month, a 7% decrease would bring its value to approximately $24,000. He further pointed out that in the pre-halving year of 2019, Bitcoin witnessed a 14% drop in September, potentially pushing its price down to $22,000. To bolster his argument, Cowen referred to a recent tweet in which he speculated a substantial chance of Bitcoin reaching $23,000 in September. Although he stressed that this prediction is far from a guarantee, he underscored the seasonal pattern, the downward momentum, and the recent monthly close below certain support levels as factors that make a dip to $23,000 plausible. Moreover, Cowen discussed the average returns in all pre-halving years for the month, revealing a drop of approximately 17.7%, which could result in Bitcoin trading at around $21,500 if history repeats itself. On August’s performance, Cowen noted that Bitcoin had already experienced a 10% drop. While August’s long-term average is approximately 21%, averaging only the last two pre-halving years (2015 and 2019) suggests a more modest -11% to -12% average drop. This highlights that Bitcoin may follow a similar pattern in September, potentially softening the blow to around $24,000. The current price of Bitcoin (BTC) is  $25,813, with a 24-hour price change of -0.99%. As the leading cryptocurrency, Bitcoin commands a significant market cap of $502,654,681,515, securing its position as the number one cryptocurrency by market capitalization. In the past 24 hours, Bitcoin has experienced a trading volume of $17,603,174,408, making it the second most actively traded cryptocurrency by volume. This high trading volume indicates strong interest and activity within the Bitcoin market, contributing to its liquidity. Navigating Bitcoin’s Cyclical Nature Cowen emphasized that despite the uncertainty, the seasonality of Bitcoin and the existing downward momentum make a test of the $23,000 level highly likely in the near future, possibly in September or October. Cowen reflected on the cyclical nature of Bitcoin’s price movements in a broader context, stating that it often alternates between bullish and bearish phases. He stressed that during pre-halving years, Bitcoin tends to rise significantly during the first half and experience declines in the latter half. According to Cowen, this pattern is designed to “wreck” both bulls and bears before entering a period of sustained growth. He also pointed out that while BTC may face challenges in the short term, once quantitative easing (QE) returns and the cryptocurrency market sentiment improves, altcoins could regain momentum. Related Reading: On-chain Sleuth Potentially Unveils Shiba Inu Founder With Shocking Affiliates In conclusion, Cowen cautioned his audience to remain vigilant in September, historically a month of red returns for Bitcoin. He urged caution, citing past data and market dynamics as indicators of a potentially challenging month ahead. While the future remains uncertain, Cowen’s data-driven analysis serves as a valuable resource for those navigating the turbulent waters of the cryptocurrency market. Investors and enthusiasts will undoubtedly watch closely to see if Bitcoin’s performance aligns with his predictions in the coming weeks and months. Featured image from Pixabay and chart from TradingView.com",Kent Glory,newsbtc
